Pot,Treatment,Salt,Nutrient,Type,Species,Species_short,AboveBM,BelowBM
HSLN1,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,29.97,100.14
HSLN1,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,304.53,44.03
HSLN1,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,78.12,16.34
HSLN1,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,104.71,59.3
HSLN1,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,358.61,220.49
HSLN1,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,446.16,42
HSLN1,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,89.21,24.23
HSLN1,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,193.17,36.32
HSLN2,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,274.78,134.54
HSLN2,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,2.33,4.1
HSLN2,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,24.32,40.35
HSLN2,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,17.65,6.08
HSLN2,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,138.41,145.57
HSLN2,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,27.65,27.44
HSLN2,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,28.06,33.9
HSLN2,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,29.61,14.76
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,15.18,11.39
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,20.15,44.28
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,26.41,5.89
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,38.82,48.43
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,36.7,53.09
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,16.26,17.97
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,16.96,18.26
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,11.92,8.2
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,65.23,35.03
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,7.55,22.59
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,28.23,20.94
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,7.7,22.69
HSLN3,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,19.31,7.58
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,18.3,17
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,24.85,20.73
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,19.3,38.46
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,14.05,50.74
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,9.71,11.36
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,4.43,20.08
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,13.43,18.13
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,9.32,23
HSLN4,HSNN,high salinity,no nutrients,exotic,Protasparagus aethiopicus,PA,10.09,20.28
