time,status,Pot,treatment,species
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN1,HSHN,Acetosa_saggitata
1,2,HSHN2,HSHN,Acetosa_saggitata
1,2,HSHN2,HSHN,Acetosa_saggitata
1,2,HSHN2,HSHN,Acetosa_saggitata
1,2,HSHN2,HSHN,Acetosa_saggitata
4,2,HSHN2,HSHN,Acetosa_saggitata
4,2,HSHN2,HSHN,Acetosa_saggitata
4,2,HSHN2,HSHN,Acetosa_saggitata
4,2,HSHN2,HSHN,Acetosa_saggitata
4,2,HSHN2,HSHN,Acetosa_saggitata
4,2,HSHN2,HSHN,Acetosa_saggitata
5,2,HSHN2,HSHN,Acetosa_saggitata
5,2,HSHN2,HSHN,Acetosa_saggitata
5,2,HSHN2,HSHN,Acetosa_saggitata
5,2,HSHN2,HSHN,Acetosa_saggitata
7,2,HSHN2,HSHN,Acetosa_saggitata
7,2,HSHN2,HSHN,Acetosa_saggitata
1,2,HSHN3,HSHN,Acetosa_saggitata
4,2,HSHN3,HSHN,Acetosa_saggitata
4,2,HSHN3,HSHN,Acetosa_saggitata
4,2,HSHN3,HSHN,Acetosa_saggitata
5,2,HSHN3,HSHN,Acetosa_saggitata
5,2,HSHN3,HSHN,Acetosa_saggitata
5,2,HSHN3,HSHN,Acetosa_saggitata
6,2,HSHN3,HSHN,Acetosa_saggitata
6,2,HSHN3,HSHN,Acetosa_saggitata
7,2,HSHN3,HSHN,Acetosa_saggitata
7,1,HSHN3,HSHN,Acetosa_saggitata
7,1,HSHN3,HSHN,Acetosa_saggitata
7,1,HSHN3,HSHN,Acetosa_saggitata
7,1,HSHN3,HSHN,Acetosa_saggitata
7,1,HSHN3,HSHN,Acetosa_saggitata
1,2,HSHN4,HSHN,Acetosa_saggitata
1,2,HSHN4,HSHN,Acetosa_saggitata
1,2,HSHN4,HSHN,Acetosa_saggitata
1,2,HSHN4,HSHN,Acetosa_saggitata
2,2,HSHN4,HSHN,Acetosa_saggitata
5,2,HSHN4,HSHN,Acetosa_saggitata
5,2,HSHN4,HSHN,Acetosa_saggitata
5,2,HSHN4,HSHN,Acetosa_saggitata
5,2,HSHN4,HSHN,Acetosa_saggitata
6,2,HSHN4,HSHN,Acetosa_saggitata
6,2,HSHN4,HSHN,Acetosa_saggitata
6,2,HSHN4,HSHN,Acetosa_saggitata
6,2,HSHN4,HSHN,Acetosa_saggitata
6,2,HSHN4,HSHN,Acetosa_saggitata
6,2,HSHN4,HSHN,Acetosa_saggitata
6,2,HSHN4,HSHN,Acetosa_saggitata
1,2,HSHN5,HSHN,Acetosa_saggitata
1,2,HSHN5,HSHN,Acetosa_saggitata
1,2,HSHN5,HSHN,Acetosa_saggitata
1,2,HSHN5,HSHN,Acetosa_saggitata
4,2,HSHN5,HSHN,Acetosa_saggitata
4,2,HSHN5,HSHN,Acetosa_saggitata
6,2,HSHN5,HSHN,Acetosa_saggitata
6,2,HSHN5,HSHN,Acetosa_saggitata
6,2,HSHN5,HSHN,Acetosa_saggitata
6,2,HSHN5,HSHN,Acetosa_saggitata
6,2,HSHN5,HSHN,Acetosa_saggitata
6,2,HSHN5,HSHN,Acetosa_saggitata
6,2,HSHN5,HSHN,Acetosa_saggitata
7,2,HSHN5,HSHN,Acetosa_saggitata
7,1,HSHN5,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
1,2,HSHN6,HSHN,Acetosa_saggitata
4,2,HSHN6,HSHN,Acetosa_saggitata
4,2,HSHN6,HSHN,Acetosa_saggitata
